date_folder,image,path,total_detected,A,B,C
06_07_26_book_displacement,origami4_00010.0_00022_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami4_00010.0_00022_1.spm.png,74,45,29,0
06_07_26_book_displacement,origami5_00010.0_00023_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami5_00010.0_00023_1.spm.png,240,50,190,0
06_07_26_book_displacement,origami5_00010.0_00024_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami5_00010.0_00024_1.spm.png,36,12,24,0
06_07_26_book_displacement,origami5_00010.0_00025_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami5_00010.0_00025_1.spm.png,80,42,38,0
06_07_26_book_displacement,origami6_00010.0_00026_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami6_00010.0_00026_1.spm.png,192,45,147,0
06_07_26_book_displacement,origami6_00010.0_00027_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami6_00010.0_00027_1.spm.png,47,26,21,0
06_07_26_book_displacement,origami6_00010.0_00028_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami6_00010.0_00028_1.spm.png,110,47,63,0
06_07_26_book_displacement,origami7_00010.0_00029_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami7_00010.0_00029_1.spm.png,137,28,109,0
06_07_26_book_displacement,origami7_00010.0_00030_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami7_00010.0_00030_1.spm.png,31,10,21,0
06_07_26_book_displacement,origami7_00010.0_00031_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami7_00010.0_00031_1.spm.png,66,18,48,0
06_07_26_book_displacement,origami8_00010.0_00032_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami8_00010.0_00032_1.spm.png,176,27,149,0
06_07_26_book_displacement,origami8_00010.0_00033_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami8_00010.0_00033_1.spm.png,28,9,19,0
06_07_26_book_displacement,origami8_00010.0_00034_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami8_00010.0_00034_1.spm.png,58,13,45,0
06_07_26_book_displacement,origami9_00010.0_00035_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami9_00010.0_00035_1.spm.png,185,28,157,0
06_07_26_book_displacement,origami9_00010.0_00036_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami9_00010.0_00036_1.spm.png,26,8,18,0
06_07_26_book_displacement,origami9_00010.0_00037_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami9_00010.0_00037_1.spm.png,80,14,66,0
