date_folder,image,path,pixels_per_um,total_detected,A,B,C
06_01_26,origami10f_.0_00021_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10f_.0_00021_1.spm.png,472.584,7,7,0,0
06_01_26,origami12f_.0_00023_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami12f_.0_00023_1.spm.png,52.1,453,341,40,72
06_01_26,origami12f_.0_00024_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami12f_.0_00024_1.spm.png,155.995,54,47,1,6
06_01_26,origami12f_.0_00025_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami12f_.0_00025_1.spm.png,52.1,388,300,46,42
06_01_26,origami1_.0_00001_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami1_.0_00001_1.spm.png,313.825,18,14,4,0
06_01_26,origami1_.0_00002_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami1_.0_00002_1.spm.png,104.2,102,79,15,8
06_01_26,origami1_.0_00003_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami1_.0_00003_1.spm.png,311.991,13,11,2,0
06_01_26,origami1_.0_00005_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami1_.0_00005_1.spm.png,52.1,411,270,88,53
06_01_26,origami2_.0_00032_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami2_.0_00032_1.spm.png,52.1,329,229,59,41
06_01_26,origami2_.0_00033_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami2_.0_00033_1.spm.png,155.995,35,27,6,2
06_01_26,origami3_.0_00034_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami3_.0_00034_1.spm.png,52.1,383,287,52,44
06_01_26,origami4_.0_00006_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami4_.0_00006_1.spm.png,52.1,354,208,95,51
